file_name,paragraph_name,query,value
1.初次沟通-202310.docx,BD-1·初次沟通,BD-1·初次沟通好的开始是成功的一半，初次沟通是项目推进中，双方迈出的第一步，是之后合作的基石。如果没有高质量的初次沟通，可能会造成品牌企业觉得表述不清、合作契合点不明确、对滴灌通收入分成模式造成理解偏差等问题，导致合作信心受阻，从而影响后续推进的配合度，严重的情况可能直接导致品牌企业拒绝合作。此外，好的初次沟通可以帮助我们挖掘品牌企业的发展需求，展现滴灌通的优势，明确合作方向，建立合作信心，以充足的准备给企业建立良好的第一印象；同时，能在沟通的过程中，掌握与品牌企业合作的主动权和推进节奏。初次沟通的工作内容主要集中在：因此，作为BD，务必严格执行初次沟通的每个步骤，高质量完成本流程。初次沟通，为了完成获取更全面的信息进行立项判断，我们需要高质量的完成沟通前准备和沟通实施两个部分。,BD-1·初次沟通好的开始是成功的一半，初次沟通是项目推进中，双方迈出的第一步，是之后合作的基石。如果没有高质量的初次沟通，可能会造成品牌企业觉得表述不清、合作契合点不明确、对滴灌通收入分成模式造成理解偏差等问题，导致合作信心受阻，从而影响后续推进的配合度，严重的情况可能直接导致品牌企业拒绝合作。此外，好的初次沟通可以帮助我们挖掘品牌企业的发展需求，展现滴灌通的优势，明确合作方向，建立合作信心，以充足的准备给企业建立良好的第一印象；同时，能在沟通的过程中，掌握与品牌企业合作的主动权和推进节奏。初次沟通的工作内容主要集中在：因此，作为BD，务必严格执行初次沟通的每个步骤，高质量完成本流程。初次沟通，为了完成获取更全面的信息进行立项判断，我们需要高质量的完成沟通前准备和沟通实施两个部分。
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备,BD-1·初次沟通/沟通前准备沟通前准备主要包括四个部分：步骤一-企微接触：在沟通实施前，BA同事会通过企微推送品牌企业的介绍材料给到BD团队，并建立项目沟通群。介绍材料包括品牌滴灌通品牌信息登记表滴灌通品牌信息登记表、BP（商业计划书）、详细运营介绍等材料，这些材料是BD在沟通前参考的关键；步骤二-材料学习：需要从股权架构、历史融资情况以及相关舆论等方面了解企业情况，便于在初谈时高效地针对性提问，同时体现专业度。步骤三-品类研究：结合滴灌通现有品类知识库和已投品牌信息，了解品类及行业情况，与品牌提供数据进行对比；步骤四-会前准备：结合前面两个步骤整理出初次沟通中需要针对性了解的问题，形成会前针对性提问要点整理，在会议中，有逻辑、有框架、有节奏的完成与品牌企业的初次沟通。具体操作如下：,BD-1·初次沟通/沟通前准备沟通前准备主要包括四个部分：步骤一-企微接触：在沟通实施前，BA同事会通过企微推送品牌企业的介绍材料给到BD团队，并建立项目沟通群。介绍材料包括品牌滴灌通品牌信息登记表滴灌通品牌信息登记表、BP（商业计划书）、详细运营介绍等材料，这些材料是BD在沟通前参考的关键；步骤二-材料学习：需要从股权架构、历史融资情况以及相关舆论等方面了解企业情况，便于在初谈时高效地针对性提问，同时体现专业度。步骤三-品类研究：结合滴灌通现有品类知识库和已投品牌信息，了解品类及行业情况，与品牌提供数据进行对比；步骤四-会前准备：结合前面两个步骤整理出初次沟通中需要针对性了解的问题，形成会前针对性提问要点整理，在会议中，有逻辑、有框架、有节奏的完成与品牌企业的初次沟通。具体操作如下：
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/企微接触,BD-1·初次沟通/沟通前准备/企微接触,BD-1·初次沟通/沟通前准备/企微接触
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/企微接触/BA拉群,BD-1·初次沟通/沟通前准备/企微接触/BA拉群【操作】：BA同事会在获得项目推荐后对项目进行简单的初筛判断，并在完成初步材料收集后创建企微群；,BD-1·初次沟通/沟通前准备/企微接触/BA拉群【操作】：BA同事会在获得项目推荐后对项目进行简单的初筛判断，并在完成初步材料收集后创建企微群；
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/企微接触/关键人员确认,BD-1·初次沟通/沟通前准备/企微接触/关键人员确认【时间】：30分钟内。【操作】：BD应当在企微群建群并介绍后的30分钟内，与BA同事或者合作伙伴确认企微群内各成员身份，确保企业关键决策人（通常是CEO或者品牌创始人）及合作推进对接人参与首次交流；如没有，要求合作/联盟伙伴拉进来。,BD-1·初次沟通/沟通前准备/企微接触/关键人员确认【时间】：30分钟内。【操作】：BD应当在企微群建群并介绍后的30分钟内，与BA同事或者合作伙伴确认企微群内各成员身份，确保企业关键决策人（通常是CEO或者品牌创始人）及合作推进对接人参与首次交流；如没有，要求合作/联盟伙伴拉进来。
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/企微接触/BD预约会议,"BD-1·初次沟通/沟通前准备/企微接触/BD预约会议【时间】：15分钟内。【操作】：BD需要在确认关键人后10分钟内编辑介绍短信，进行自我介绍，简短表达对品牌企业的了解，并预约会议时间以及确认会议方式。具体包括下列事项：①与群里所有品牌企业相关负责人打招呼，表达欢迎和进一步沟通意向；②确认会议时间，线上会议需同步发送会议链接；③线下拜访需确认会议地点，若企业到公司拜访需在企微的提早预定接待会议室。【示例】：介绍短信示例：“@xxx，x总您好！我是滴灌通负责xx的xx,刚看了一下贵司的简介，是一个发展非常迅速的品牌！很高兴认识您，期待能与贵司有进一步合作。今天下午4-5点您方便吗？咱们视频交流一下项目具体情况，谢谢！”【其他】：链接生成及会议室预定示例如下图：","BD-1·初次沟通/沟通前准备/企微接触/BD预约会议【时间】：15分钟内。【操作】：BD需要在确认关键人后10分钟内编辑介绍短信，进行自我介绍，简短表达对品牌企业的了解，并预约会议时间以及确认会议方式。具体包括下列事项：①与群里所有品牌企业相关负责人打招呼，表达欢迎和进一步沟通意向；②确认会议时间，线上会议需同步发送会议链接；③线下拜访需确认会议地点，若企业到公司拜访需在企微的提早预定接待会议室。【示例】：介绍短信示例：“@xxx，x总您好！我是滴灌通负责xx的xx,刚看了一下贵司的简介，是一个发展非常迅速的品牌！很高兴认识您，期待能与贵司有进一步合作。今天下午4-5点您方便吗？咱们视频交流一下项目具体情况，谢谢！”【其他】：链接生成及会议室预定示例如下图："
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/材料学习,BD-1·初次沟通/沟通前准备/材料学习【操作】：为了更高效地在初次沟通中找到与品牌企业的合作切入点，以及体现BD工作的专业度，BD需要在会议前阅读BA同事收集到的滴灌通品牌信息登记表和企业自己的商业计划书/品牌介绍，了解关键信息，提前准备好初谈提问内容。关键信息包括：①了解直营及加盟门店占比，及未来开店重点方向；②单店模型；③融资历程。具体关注信息如下：,BD-1·初次沟通/沟通前准备/材料学习【操作】：为了更高效地在初次沟通中找到与品牌企业的合作切入点，以及体现BD工作的专业度，BD需要在会议前阅读BA同事收集到的滴灌通品牌信息登记表和企业自己的商业计划书/品牌介绍，了解关键信息，提前准备好初谈提问内容。关键信息包括：①了解直营及加盟门店占比，及未来开店重点方向；②单店模型；③融资历程。具体关注信息如下：
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/材料学习/了解直营及加盟门店占比，及未来开店重点方向,BD-1·初次沟通/沟通前准备/材料学习/了解直营及加盟门店占比，及未来开店重点方向滴灌通的投资模式本质上是投资门店的未来收入流水，所以相较于股权融资我们并不会花费过多的时间在品牌企业的投资故事和创始人的心路历程上，我们会更多聚焦在企业实际的发展情况和门店的商业本质。直营和加盟门店占比不同的品牌企业，通常会有不同类型的发展需求，找准初谈的切入点可以让企业快速理解与滴灌通的合作优势，通常把企业分为以下几种类型：,BD-1·初次沟通/沟通前准备/材料学习/了解直营及加盟门店占比，及未来开店重点方向滴灌通的投资模式本质上是投资门店的未来收入流水，所以相较于股权融资我们并不会花费过多的时间在品牌企业的投资故事和创始人的心路历程上，我们会更多聚焦在企业实际的发展情况和门店的商业本质。直营和加盟门店占比不同的品牌企业，通常会有不同类型的发展需求，找准初谈的切入点可以让企业快速理解与滴灌通的合作优势，通常把企业分为以下几种类型：
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/材料学习/单店模型,BD-1·初次沟通/沟通前准备/材料学习/单店模型【操作】：单店模型是了解企业实际经营状况和能力的关键要素之一。在此步骤中，BD需要：①在滴灌通品牌信息登记表中熟悉企业的单店指标值；②在品类研究环节与行业已投品牌（如有）或者行业平均数据进行对比。具体包括以下指标：单店投资额；年销售额；毛利率；净利率；回本周期。,BD-1·初次沟通/沟通前准备/材料学习/单店模型【操作】：单店模型是了解企业实际经营状况和能力的关键要素之一。在此步骤中，BD需要：①在滴灌通品牌信息登记表中熟悉企业的单店指标值；②在品类研究环节与行业已投品牌（如有）或者行业平均数据进行对比。具体包括以下指标：单店投资额；年销售额；毛利率；净利率；回本周期。
1.初次沟通-202310.docx,BD-1·初次沟通/沟通前准备/材料学习/融资历程,BD-1·初次沟通/沟通前准备/材料学习/融资历程不同的历史融资情况，会让企业对滴灌通的投资有不同的接受程度。因此，通过学习品牌企业的融资历史，我们可以找到更好的合作切入点，一般来讲可以分为以下几种情况：,BD-1·初次沟通/沟通前准备/材料学习/融资历程不同的历史融资情况，会让企业对滴灌通的投资有不同的接受程度。因此，通过学习品牌企业的融资历史，我们可以找到更好的合作切入点，一般来讲可以分为以下几种情况：
