query,value
行业:服务 业态:生活服务 品类:3C维修 年份:2016 指标:品类规模及潜力预测（亿元） 值,\N
行业:服务 业态:生活服务 品类:3C维修 年份:2017 指标:品类规模及潜力预测（亿元） 值,7.00
行业:服务 业态:生活服务 品类:3C维修 年份:2018 指标:品类规模及潜力预测（亿元） 值,35.00
行业:服务 业态:生活服务 品类:3C维修 年份:2019 指标:品类规模及潜力预测（亿元） 值,69.00
行业:服务 业态:生活服务 品类:3C维修 年份:2020 指标:品类规模及潜力预测（亿元） 值,96.00
行业:服务 业态:生活服务 品类:3C维修 年份:2021 指标:品类规模及潜力预测（亿元） 值,154.00
行业:服务 业态:生活服务 品类:3C维修 年份:2022 指标:品类规模及潜力预测（亿元） 值,146.00
行业:服务 业态:生活服务 品类:3C维修 年份:2023 指标:品类规模及潜力预测（亿元） 值,176.00
行业:服务 业态:生活服务 品类:3C维修 年份:2024 指标:品类规模及潜力预测（亿元） 值,205.00
行业:服务 业态:生活服务 品类:3C维修 年份:2025 指标:品类规模及潜力预测（亿元） 值,236.00
行业:服务 业态:生活服务 品类:3C维修 年份:2016 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:生活服务 品类:3C维修 年份:2017 指标:品类规模年增长 (%) 值,\N
行业:服务 业态:生活服务 品类:3C维修 年份:2018 指标:品类规模年增长 (%) 值,419.00
行业:服务 业态:生活服务 品类:3C维修 年份:2019 指标:品类规模年增长 (%) 值,99.00
行业:服务 业态:生活服务 品类:3C维修 年份:2020 指标:品类规模年增长 (%) 值,38.00
行业:服务 业态:生活服务 品类:3C维修 年份:2021 指标:品类规模年增长 (%) 值,61.00
行业:服务 业态:生活服务 品类:3C维修 年份:2022 指标:品类规模年增长 (%) 值,-5.0
行业:服务 业态:生活服务 品类:3C维修 年份:2023 指标:品类规模年增长 (%) 值,20.00
行业:服务 业态:生活服务 品类:3C维修 年份:2024 指标:品类规模年增长 (%) 值,17.00
行业:服务 业态:生活服务 品类:3C维修 年份:2025 指标:品类规模年增长 (%) 值,15.00
行业:服务 业态:出行服务 品类:共享单车 年份:2016 指标:品类规模及潜力预测（亿元） 值,\N
